EEG,alpha,beta,delta,theta
-2.33154,1.25655,4.28869,-6.90854,0.07527
-4.76074,2.36723,1.79383,-6.98794,-0.35772
-6.52466,3.17389,-2.34904,-7.02398,-0.78876
-6.50635,3.55662,-5.09822,-7.01659,-1.20051
-4.95605,3.45089,-4.1015,-6.96596,-1.57595
-2.86255,2.85898,0.57268,-6.87264,-1.89957
-1.46484,1.85213,6.24974,-6.73763,-2.15806
-0.37842,0.56181,9.24404,-6.56236,-2.34031
0.354,-0.83824,7.2406,-6.34855,-2.4375
-4.48608,-2.15625,0.8892,-6.09806,-2.44345
-15.6738,-3.20901,-6.47861,-5.81297,-2.35536
-26.1597,-3.84755,-10.8525,-5.4957,-2.17421
-26.5869,-3.97799,-9.96272,-5.14905,-1.90466
-14.6057,-3.57506,-4.55753,-4.77604,-1.55512
-1.09863,-2.68607,2.22803,-4.37986,-1.13602
4.37622,-1.42487,6.89893,-3.96381,-0.66038
2.85645,0.04342,7.63639,-3.53134,-0.14371
0.42725,1.52472,5.06604,-3.08606,0.39552
0.98877,2.82319,1.42678,-2.63165,0.9369
3.39355,3.76803,-1.10718,-2.17184,1.46043
5.21851,4.23648,-1.73525,-1.71033,1.94756
4.79736,4.16934,-1.17334,-1.25079,2.38113
2.93579,3.57823,-0.73582,-0.79687,2.74522
1.15356,2.54349,-1.1806,-0.35212,3.02564
-0.36011,1.20253,-2.1875,0.08002,3.21109
-0.98877,-0.26973,-2.75694,0.4963,3.29393
