EEG,alpha,beta,delta,theta
0.56152,0.50306,-0.32002,0.92146,-0.39656
2.17285,0.4968,0.28442,1.0159,-0.4671
3.05786,0.44091,0.86771,1.11041,-0.52333
2.80151,0.34602,1.24568,1.20422,-0.56382
2.27051,0.22658,1.27982,1.29659,-0.58767
1.87378,0.09859,0.93576,1.38677,-0.59456
1.48926,-0.02239,0.29947,1.47401,-0.5847
0.72632,-0.12328,-0.45083,1.55757,-0.55867
-0.41504,-0.19497,-1.09631,1.63674,-0.51746
-0.96436,-0.23314,-1.4353,1.7109,-0.46237
-0.79346,-0.23851,-1.33746,1.77951,-0.39517
0.14038,-0.21634,-0.79482,1.84201,-0.31803
1.37939,-0.17539,0.04543,1.89794,-0.23343
2.22168,-0.12625,0.89765,1.94689,-0.14399
2.71606,-0.07947,1.42715,1.98856,-0.0523
2.82593,-0.044,1.39548,2.02272,0.03915
2.99072,-0.02576,0.79327,2.04919,0.12778
2.7832,-0.02672,-0.12321,2.06786,0.21114
1.93481,-0.04461,-0.93521,2.07863,0.28689
0.90332,-0.07338,-1.26461,2.08143,0.35291
0.79956,-0.10431,-0.97021,2.07632,0.40748
1.83105,-0.12751,-0.2227,2.06346,0.44925
3.302,-0.13358,0.58841,2.0431,0.47736
4.01001,-0.11559,1.06022,2.01554,0.49139
3.61328,-0.07052,0.97828,1.98107,0.49132
2.56348,0.00022,0.40646,1.94006,0.47756
1.40991,0.09078,-0.36751,1.89289,0.45093
1.15967,0.19161,-0.98386,1.84003,0.41264
1.86768,0.29024,-1.1749,1.78205,0.36425
2.83813,0.373,-0.86738,1.71953,0.30768
3.10059,0.42673,-0.1957,1.65307,0.24501
2.72827,0.44081,0.56349,1.58322,0.17842
2.53296,0.40872,1.10336,1.51059,0.11009
2.85034,0.32925,1.20956,1.43582,0.04226
2.96021,0.20711,0.85181,1.35962,-0.02293
2.04468,0.05257,0.20326,1.28269,-0.08343
0.31128,-0.11964,-0.43499,1.20569,-0.13752
-0.96436,-0.29197,-0.78349,1.12923,-0.18377
-1.47095,-0.44603,-0.73499,1.05386,-0.22114
-0.99487,-0.56451,-0.41466,0.98012,-0.24897
-0.45776,-0.63322,-0.09811,0.90848,-0.26691
-0.01221,-0.64284,-0.02482,0.83943,-0.27499
0.02441,-0.59026,-0.22401,0.77344,-0.27363
-0.36621,-0.47906,-0.47912,0.71099,-0.26362
-0.62866,-0.31917,-0.46961,0.65252,-0.24614
-0.13428,-0.12571,-0.00786,0.59839,-0.22256
1.34888,0.08259,0.79002,0.54885,-0.19444
2.80762,0.28531,1.52732,0.50406,-0.1634
3.26538,0.46244,1.74451,0.46413,-0.13115
2.33765,0.59673,1.20165,0.42917,-0.09942
0.58594,0.67561,0.04504,0.39923,-0.06983
-1.0437,0.69231,-1.25054,0.37428,-0.04374
-1.53809,0.64621,-2.12736,0.3542,-0.02231
-1.00708,0.54275,-2.22676,0.33881,-0.00637
-0.05493,0.39301,-1.54454,0.32794,0.00355
0.42114,0.21249,-0.38963,0.32133,0.00731
1.07422,0.01925,0.79884,0.31868,0.00518
1.63574,-0.16831,1.64994,0.31959,-0.00223
2.16064,-0.33336,1.97206,0.32364,-0.01402
2.29492,-0.46221,1.75369,0.33046,-0.02902
1.57471,-0.54557,1.10384,0.33964,-0.04582
0.43945,-0.5792,0.19861,0.35074,-0.06275
-1.20239,-0.56402,-0.742,0.36324,-0.07805
-2.49023,-0.50548,-1.47297,0.37659,-0.09004
-2.57568,-0.41246,-1.77532,0.3903,-0.09717
-1.68457,-0.29592,-1.54187,0.40389,-0.09814
-0.55542,-0.16771,-0.8486,0.4169,-0.09192
0.21973,-0.0392,0.05004,0.4289,-0.0778
0.71411,0.07997,0.82276,0.43942,-0.05544
1.22681,0.18297,1.21551,0.44807,-0.02483
1.7395,0.26585,1.1676,0.45445,0.01367
1.97754,0.32733,0.81793,0.4582,0.05922
1.95923,0.36809,0.39559,0.45902,0.11048
1.87988,0.39011,0.06872,0.45673,0.16566
1.12305,0.39574,-0.14327,0.4512,0.22257
0.42725,0.38677,-0.33441,0.4423,0.2788
