EEG,alpha,beta,delta,theta
0.81177,0.54458,0.08084,-0.12553,-0.31024
1.00098,0.62438,-0.12583,-0.00674,-0.38108
1.25732,0.63736,0.02002,0.11786,-0.44271
1.39771,0.58431,0.62279,0.24697,-0.49239
1.62354,0.47367,1.39708,0.37931,-0.52766
2.0813,0.32033,1.81231,0.51362,-0.54645
1.72119,0.14332,1.42877,0.6486,-0.54718
0.07935,-0.03717,0.21095,0.78292,-0.52889
-2.20947,-0.20268,-1.39041,0.91528,-0.49123
-3.74756,-0.33877,-2.65109,1.04445,-0.43443
-3.54614,-0.4363,-2.95667,1.16926,-0.35955
-1.96533,-0.4917,-2.13066,1.28859,-0.26846
0.1709,-0.50623,-0.5172,1.40139,-0.1637
2.15454,-0.48472,1.21412,1.5067,-0.04831
3.36304,-0.43417,2.40902,1.60376,0.07422
3.94287,-0.3623,2.71609,1.69188,0.19992
4.30298,-0.27622,2.17754,1.77042,0.32451
3.84521,-0.18129,1.11839,1.83885,0.4435
2.73438,-0.0807,-0.05817,1.8968,0.55243
1.20239,0.024,-1.03698,1.94415,0.647
0.67749,0.13186,-1.64785,1.98091,0.72326
0.94605,0.24111,-1.83587,2.0072,0.77777
1.36108,0.34819,-1.6131,2.02316,0.80767
1.95313,0.44696,-1.04409,2.02905,0.81079
2.70996,0.52858,-0.25999,2.02523,0.78602
3.75366,0.58226,0.54071,2.01219,0.73328
4.63867,0.59685,1.13778,1.99057,0.65367
4.89502,0.56272,1.37012,1.96108,0.54917
4.70581,0.4739,1.2049,1.92457,0.42267
3.75977,0.32987,0.74882,1.88196,0.2779
2.79541,0.13711,0.19315,1.83417,0.11933
1.95313,-0.09039,-0.27654,1.78219,-0.04789
0.8667,-0.33194,-0.55249,1.72702,-0.21814
0.05493,-0.56207,-0.62323,1.66973,-0.38547
-0.6897,-0.7534,-0.54298,1.61145,-0.5438
-0.79346,-0.88008,-0.38365,1.55327,-0.68724
-0.77515,-0.9216,-0.20574,1.49622,-0.81043
-1.11694,-0.86632,-0.05512,1.4413,-0.90871
-1.24512,-0.71385,0.03144,1.38951,-0.97819
-0.67749,-0.47604,0.03338,1.34178,-1.01579
0.28687,-0.17604,-0.03241,1.29897,-1.01957
0.8728,0.15413,-0.09907,1.26181,-0.9887
0.98877,0.47723,-0.07058,1.23096,-0.92367
1.17798,0.75537,0.1202,1.20701,-0.8263
1.98975,0.95475,0.4483,1.19044,-0.69959
3.31421,1.05018,0.77529,1.1816,-0.54769
3.83301,1.02863,0.89959,1.1807,-0.37568
3.02734,0.89117,0.66613,1.18789,-0.1894
1.5625,0.65318,0.07524,1.20328,0.00477
0.47607,0.34261,-0.68025,1.22686,0.20005
0.39673,-0.00352,-1.2873,1.25846,0.38951
0.6897,-0.34382,-1.46537,1.29782,0.56638
0.62866,-0.63789,-1.11446,1.34459,0.72433
0.76904,-0.85151,-0.37143,1.39837,0.8577
1.44653,-0.96095,0.46185,1.45868,0.96168
2.71606,-0.95577,1.07435,1.52496,1.03244
3.85742,-0.83989,1.29154,1.59651,1.06743
3.91846,-0.63075,1.12673,1.67261,1.06541
3.48511,-0.35689,0.72135,1.75248,1.02642
2.771,-0.05397,0.23318,1.83533,0.95181
2.4353,0.24011,-0.24042,1.92032,0.84424
2.4292,0.49016,-0.65915,2.00657,0.70782
2.19116,0.66814,-0.98032,2.09316,0.54766
1.97144,0.7563,-1.11558,2.17916,0.36963
1.83716,0.74888,-0.96043,2.2637,0.18022
1.92261,0.65236,-0.48371,2.34596,-0.0137
2.30713,0.48389,0.19616,2.42518,-0.20496
2.6001,0.26849,0.82807,2.5006,-0.38664
2.85034,0.03548,1.14916,2.57144,-0.55217
2.81372,-0.18555,1.03784,2.63697,-0.69561
2.45972,-0.36833,0.58849,2.69649,-0.81195
1.69067,-0.49315,0.04936,2.74949,-0.89728
0.8728,-0.54898,-0.33936,2.79549,-0.94892
0.59204,-0.53436,-0.4905,2.83408,-0.96535
0.73242,-0.45656,-0.49214,2.86494,-0.9463
1.40991,-0.3298,-0.49437,2.88781,-0.89295
2.0874,-0.17291,-0.55586,2.90254,-0.80785
2.24609,-0.00677,-0.57888,2.90902,-0.69482
2.02026,0.1484,-0.39093,2.90722,-0.55869
1.83716,0.27544,0.08647,2.89725,-0.40494
3.00903,0.36219,0.71792,2.87927,-0.23967
4.87061,0.40223,1.19055,2.85355,-0.06934
5.61523,0.39486,1.19944,2.82037,0.09936
4.5105,0.34462,0.66007,2.78007,0.25987
2.45361,0.26003,-0.20535,2.73309,0.40617
1.33667,0.15238,-0.97576,2.67996,0.53292
1.77612,0.03402,-1.27136,2.62127,0.63565
2.7832,-0.08276,-0.97407,2.55761,0.71089
3.4729,-0.18664,-0.28813,2.4896,0.7563
3.38745,-0.26825,0.39171,2.41784,0.77085
3.1189,-0.32077,0.71839,2.34298,0.75476
2.83203,-0.34038,0.58544,2.26569,0.70947
2.44751,-0.32603,0.16404,2.18666,0.63756
2.24609,-0.2795,-0.22501,2.1066,0.54258
2.2644,-0.20526,-0.31458,2.02625,0.42906
2.91748,-0.11018,-0.04823,1.94632,0.30214
2.93579,-0.00291,0.39262,1.86743,0.16744
2.11792,0.10657,0.69928,1.79014,0.03067
1.5686,0.20755,0.61837,1.71498,-0.10257
1.64185,0.28934,0.10631,1.64248,-0.22697
2.09961,0.34264,-0.62734,1.57317,-0.33766
1.42212,0.36062,-1.21617,1.50752,-0.43039
0,0.33965,-1.32552,1.44589,-0.50175
-0.53711,0.28002,-0.83601,1.38863,-0.54941
0.38452,0.18641,0.07729,1.33597,-0.5721
2.18506,0.06797,1.0193,1.28816,-0.56965
3.25317,-0.06242,1.56744,1.24533,-0.54275
2.771,-0.18955,1.48046,1.20755,-0.49308
1.2146,-0.29769,0.81117,1.17485,-0.42351
-0.39673,-0.3725,-0.13438,1.14724,-0.33794
-1.10474,-0.40309,-0.95885,1.1247,-0.241
-0.84839,-0.38366,-1.36038,1.10713,-0.13742
-0.26245,-0.31469,-1.24568,1.09439,-0.0318
0.33569,-0.20327,-0.72716,1.08625,0.07121
0.81177,-0.06262,-0.03543,1.08245,0.16712
1.2207,0.08965,0.5863,1.08269,0.25165
1.85547,0.23367,0.95484,1.08668,0.32114
2.40479,0.34991,0.97824,1.09402,0.37271
2.75269,0.42189,0.66803,1.1043,0.40439
2.22778,0.43847,0.14217,1.11701,0.41527
1.65405,0.39581,-0.39667,1.13176,0.40549
1.08643,0.29822,-0.7277,1.14822,0.37626
1.07422,0.15792,-0.71511,1.16607,0.32955
1.14136,-0.00674,-0.39002,1.18485,0.26787
1.17798,-0.1737,0.05414,1.20397,0.19441
1.58691,-0.32018,0.37118,1.22287,0.11294
1.72119,-0.42595,0.41403,1.24115,0.02774
1.50146,-0.47611,0.22463,1.25847,-0.05674
0.76294,-0.46337,-0.00873,1.27447,-0.13616
0.08545,-0.38912,-0.10029,1.28872,-0.20648
0.14648,-0.26294,-0.01088,1.30084,-0.2643
0.8728,-0.10143,0.12541,1.31052,-0.307
1.75171,0.07398,0.11857,1.31754,-0.3327
1.87378,0.23987,-0.10449,1.32168,-0.34031
0.98267,0.37419,-0.41286,1.32274,-0.32951
0.10986,0.45957,-0.55057,1.32059,-0.30096
0.45776,0.48576,-0.33527,1.31513,-0.25618
1.89819,0.45088,0.1733,1.30627,-0.19744
3.07617,0.36147,0.67603,1.29392,-0.12774
2.70996,0.23131,0.82633,1.278,-0.05068
1.36719,0.07921,0.48309,1.25856,0.0298
0.3479,-0.07386,-0.16354,1.23564,0.10964
-0.10376,-0.20805,-0.69811,1.20936,0.18481
0.25024,-0.30748,-0.75843,1.17988,0.25137
0.80566,-0.36249,-0.29566,1.1474,0.30579
1.69678,-0.37044,0.37053,1.11216,0.3451
1.99585,-0.33563,0.7546,1.07441,0.36706
1.33667,-0.26812,0.53796,1.0344,0.3703
0.42725,-0.18169,-0.19177,0.99233,0.35431
0.23804,-0.09134,-0.96634,0.94848,0.31951
0.8728,-0.01063,-1.22455,0.90312,0.26721
1.70288,0.05061,-0.68707,0.85656,0.19947
2.0752,0.08762,0.42839,0.80913,0.11923
2.4353,0.10127,1.50222,0.76113,0.03009
2.64282,0.09717,1.87353,0.71291,-0.06376
2.24609,0.08427,1.25096,0.66485,-0.15785
1.11084,0.07263,-0.08638,0.61727,-0.24773
-0.45776,0.07118,-1.4295,0.57049,-0.32911
-1.58081,0.08571,-2.04735,0.52487,-0.398
-1.93481,0.1174,-1.61809,0.48075,-0.45081
-1.09863,0.16219,-0.4165,0.43844,-0.48459
0.42725,0.21118,0.85992,0.39819,-0.49725
1.5564,0.25224,1.51892,0.36027,-0.48783
1.58081,0.27236,1.2828,0.32496,-0.4564
0.3479,0.26029,0.42314,0.2925,-0.40385
-0.91553,0.20898,-0.45354,0.26311,-0.33186
-1.3855,0.11742,-0.8177,0.237,-0.24301
-0.93384,-0.00841,-0.54737,0.21434,-0.14076
-0.12207,-0.1558,0.03782,0.19529,-0.02932
0.50659,-0.3067,0.44609,0.17998,0.08679
0.36621,-0.44001,0.38146,0.16853,0.20269
-0.25635,-0.53478,-0.0568,0.16106,0.31342
-0.78125,-0.57376,-0.47891,0.1576,0.41405
-1.05591,-0.54659,-0.5204,0.15815,0.49994
-0.49439,-0.45175,-0.12667,0.16268,0.56709
0.89111,-0.29723,0.40856,0.17109,0.61228
2.16675,-0.09991,0.67296,0.18337,0.63321
2.0874,0.11629,0.45514,0.19944,0.62857
0.97046,0.32374,-0.09386,0.21924,0.59796
0.10986,0.49517,-0.57769,0.24264,0.54198
0.94605,0.60782,-0.65777,0.26947,0.46236
2.45972,0.64669,-0.30748,0.29955,0.36194
2.86255,0.60673,0.17832,0.33269,0.24456
1.93481,0.49392,0.42202,0.36872,0.11479
0.75073,0.32448,0.2632,0.40746,-0.02231
0.31738,0.1228,-0.11375,0.44871,-0.16142
0.26245,-0.08234,-0.32744,0.49222,-0.29698
-0.06104,-0.26212,-0.10882,0.53769,-0.42348
-0.43335,-0.39202,0.464,0.58479,-0.53569
-0.37231,-0.4555,0.98837,0.63325,-0.62893
-0.06104,-0.44644,1.00963,0.68278,-0.69935
-0.32959,-0.37016,0.35101,0.73307,-0.74391
-1.65405,-0.24251,-0.73246,0.78377,-0.76049
-2.58179,-0.08732,-1.68449,0.83458,-0.74811
-2.39258,0.06745,-1.97379,0.88526,-0.70687
-0.81787,0.19427,-1.40086,0.93559,-0.63815
0.7019,0.27041,-0.19907,0.98525,-0.54434
2.10571,0.2817,1.11026,1.03394,-0.42874
3.07617,0.22514,1.99571,1.08133,-0.29558
3.42407,0.10944,2.15385,1.12713,-0.14983
2.91138,-0.04594,1.59641,1.17106,0.00301
1.68457,-0.21389,0.58153,1.2128,0.15723
0.46387,-0.36377,-0.52966,1.2521,0.30719
0.32959,-0.46634,-1.40455,1.28869,0.44729
0.45776,-0.49875,-1.81909,1.32231,0.57219
0.23193,-0.44819,-1.69445,1.35279,0.6771
0.27466,-0.31421,-1.10743,1.37998,0.75817
1.42212,-0.10947,-0.27136,1.40376,0.81257
3.95508,0.14149,0.53013,1.42395,0.83838
5.5542,0.40517,1.04962,1.44037,0.83463
5.09644,0.64404,1.17727,1.45292,0.80136
3.80249,0.82208,0.97725,1.46148,0.73982
3.26538,0.91006,0.63071,1.46602,0.65234
3.69873,0.88987,0.3178,1.46647,0.54212
3.1311,0.75721,0.11328,1.46281,0.41317
1.9165,0.52279,-0.03421,1.45498,0.27014
0.89722,0.21136,-0.23049,1.44296,0.11814
-0.15259,-0.14133,-0.52694,1.42669,-0.03743
-1.28784,-0.49309,-0.85625,1.40616,-0.19109
-2.21558,-0.80117,-1.05986,1.38149,-0.33746
-2.00806,-1.02757,-0.98514,1.35287,-0.47148
-1.16577,-1.14416,-0.58528,1.32053,-0.58866
-0.73853,-1.13622,0.04276,1.2846,-0.68517
-0.53101,-1.00423,0.70115,1.24515,-0.75799
0.32959,-0.76363,1.18058,1.2023,-0.80492
1.51367,-0.44251,1.34157,1.1563,-0.82485
1.95313,-0.07798,1.15095,1.10742,-0.81766
1.60522,0.28852,0.67416,1.05592,-0.78419
1.0376,0.61638,0.04185,1.002,-0.72605
0.73853,0.87077,-0.5865,0.9459,-0.64558
0.89111,1.02678,-1.05735,0.88788,-0.54587
0.77515,1.07204,-1.25808,0.82823,-0.43069
0.6897,1.00755,-1.14922,0.76724,-0.30418
0.76294,0.84663,-0.77926,0.70522,-0.1708
1.17798,0.61238,-0.26611,0.64254,-0.0351
1.92871,0.33424,0.25508,0.57953,0.09838
2.48413,0.04409,0.68649,0.51655,0.22548
2.02026,-0.22758,0.988,0.45391,0.34252
1.55029,-0.45506,1.14994,0.39193,0.44624
1.34888,-0.61986,1.14591,0.33091,0.53382
1.33057,-0.71212,0.9132,0.2711,0.60294
0.84839,-0.73059,0.3915,0.21278,0.65196
-0.43335,-0.68175,-0.39523,0.15628,0.67995
-1.82495,-0.57806,-1.27256,0.10195,0.68664
-2.6062,-0.43595,-1.92828,0.05006,0.67261
-2.2583,-0.27336,-2.03071,0.00083,0.63913
-1.30615,-0.10753,-1.40558,-0.04555,0.58806
-0.31128,0.04667,-0.17305,-0.0888,0.52176
1.01318,0.17782,1.24975,-0.12865,0.44291
2.14844,0.27837,2.30541,-0.16486,0.35459
2.74048,0.34469,2.54627,-0.19725,0.25987
2.36816,0.37663,1.85013,-0.22567,0.16185
0.68359,0.37657,0.49012,-0.24998,0.06354
-1.06201,0.34858,-0.9851,-0.27006,-0.0323
-2.00806,0.29775,-2.00219,-0.28582,-0.12315
-1.93481,0.22979,-2.21763,-0.29719,-0.20685
-1.29395,0.15074,-1.6496,-0.30411,-0.28155
-0.76294,0.06688,-0.6282,-0.30651,-0.3456
-0.26245,-0.01536,0.39557,-0.30436,-0.3978
0.57983,-0.08959,1.06759,-0.29766,-0.43724
1.30615,-0.14976,1.26109,-0.28644,-0.46355
1.14746,-0.19063,1.06853,-0.27076,-0.47674
0.1709,-0.2083,0.68973,-0.25066,-0.47714
-0.67749,-0.20073,0.30164,-0.22629,-0.46547
-0.87891,-0.16838,-0.01368,-0.19781,-0.44269
-0.81787,-0.11462,-0.25805,-0.16544,-0.40997
-0.80566,-0.04567,-0.45604,-0.12939,-0.36858
-1.17188,0.02971,-0.60202,-0.0898,-0.31991
-1.37329,0.10112,-0.65545,-0.04684,-0.26553
-1.52588,0.15777,-0.58041,-0.00073,-0.20713
-1.29395,0.1903,-0.38394,0.04824,-0.14636
-0.59815,0.19219,-0.11876,0.09979,-0.08467
0.12207,0.16069,0.15008,0.15365,-0.02345
0.5188,0.09753,0.38007,0.20954,0.03596
0.64697,0.00907,0.55517,0.26712,0.09228
0.40894,-0.09387,0.66126,0.32604,0.14432
0.36621,-0.19743,0.66133,0.38598,0.19112
0.62256,-0.28656,0.50476,0.44665,0.23191
1.20239,-0.34704,0.17432,0.50776,0.26605
0.97046,-0.36756,-0.26604,0.56898,0.29296
0.14648,-0.34154,-0.67023,0.62993,0.31212
-0.64087,-0.26834,-0.8763,0.69027,0.32314
-0.12817,-0.15377,-0.80016,0.74967,0.32588
1.43433,-0.00961,-0.48882,0.80779,0.32029
2.39868,0.14759,-0.08973,0.86432,0.30647
2.36816,0.29882,0.2457,0.91897,0.28461
2.34375,0.4252,0.44985,0.9715,0.25511
2.62451,0.51048,0.55248,1.02168,0.21865
3.10059,0.54328,0.61266,1.06928,0.17609
3.01514,0.51842,0.63093,1.11401,0.12856
2.70386,0.43777,0.52632,1.15555,0.07729
2.02026,0.30999,0.20822,1.19367,0.02367
1.02539,0.14941,-0.30956,1.22823,-0.03084
-0.03052,-0.02585,-0.85086,1.25908,-0.08468
-0.67749,-0.19622,-1.14281,1.28609,-0.13615
-0.39673,-0.34328,-0.97942,1.30911,-0.18351
-0.29907,-0.4521,-0.37531,1.32808,-0.22503
-0.15869,-0.51292,0.40654,1.34295,-0.25916
0.54321,-0.5222,0.9876,1.35365,-0.28461
1.32446,-0.48277,1.09003,1.36012,-0.30022
1.54419,-0.40281,0.6969,1.36237,-0.30502
0.5249,-0.29429,0.05131,1.36049,-0.29833
-0.56152,-0.17111,-0.50009,1.35461,-0.27994
-0.12817,-0.0472,-0.71009,1.34485,-0.25022
1.11084,0.06508,-0.55045,1.33133,-0.20989
2.10571,0.15675,-0.18558,1.31418,-0.16002
2.2644,0.22314,0.15913,1.2936,-0.10204
1.71509,0.26393,0.33154,1.26983,-0.03771
1.71509,0.28219,0.30866,1.24317,0.03071
2.13013,0.28305,0.16288,1.21394,0.10068
2.41089,0.27235,-0.01054,1.18239,0.16934
2.17896,0.25551,-0.14363,1.14873,0.23379
1.62964,0.23646,-0.20347,1.11322,0.29134
1.58081,0.21685,-0.17881,1.07612,0.33943
1.64795,0.19587,-0.07644,1.03778,0.37572
1.81885,0.17073,0.06768,0.99858,0.39801
1.7334,0.13762,0.18572,0.95889,0.40453
1.51978,0.09285,0.20569,0.91917,0.39412
1.45874,0.03399,0.1029,0.87984,0.36624
1.10474,-0.03916,-0.06776,0.84123,0.32094
0.48828,-0.12368,-0.1975,0.80369,0.25889
0.01221,-0.2136,-0.19876,0.76759,0.18155
-0.40283,-0.30035,-0.07463,0.73327,0.09127
-0.19531,-0.3738,0.0804,0.70107,-0.00905
-0.21973,-0.4237,0.15526,0.6713,-0.11606
-0.42725,-0.44127,0.11528,0.64427,-0.22609
-0.43335,-0.42078,0.0319,0.62027,-0.33507
-0.65918,-0.36069,0.01568,0.59955,-0.43857
-0.76904,-0.26414,0.10394,0.58238,-0.53221
-0.55542,-0.13873,0.20252,0.569,-0.61167
-0.08545,0.00415,0.14782,0.55962,-0.67295
0.73242,0.15048,-0.14304,0.55439,-0.71247
0.64697,0.28534,-0.55404,0.55337,-0.72733
0.11597,0.39506,-0.79844,0.55664,-0.71572
-0.02441,0.46879,-0.60862,0.56424,-0.67684
0.8606,0.49959,0.03758,0.57618,-0.61089
2.47192,0.48494,0.83161,0.59245,-0.5189
3.36914,0.42715,1.28867,0.61298,-0.40273
2.86865,0.33321,1.06459,0.6376,-0.26525
1.24512,0.21363,0.22007,0.66608,-0.11038
-0.42114,0.08102,-0.7703,0.69818,0.05694
-0.61035,-0.05127,-1.30172,0.7337,0.23109
0.22583,-0.17056,-1.03998,0.77243,0.40601
1.30005,-0.26625,-0.16373,0.81412,0.57538
1.51978,-0.33093,0.73369,0.85845,0.73281
1.45264,-0.36081,1.0362,0.90503,0.8721
1.35498,-0.35568,0.52862,0.9535,0.98748
1.22681,-0.3188,-0.44012,1.00345,1.07393
0.92163,-0.2564,-1.17852,1.05444,1.1273
0.5188,-0.17684,-1.11833,1.10602,1.14454
1.09253,-0.08935,-0.20897,1.15767,1.12368
2.63062,-0.00319,1.02601,1.20892,1.06404
3.9856,0.07307,1.81491,1.25938,0.96626
3.97339,0.13211,1.63111,1.30868,0.83235
2.40479,0.1685,0.52925,1.3564,0.66565
0.46997,0.17943,-0.88976,1.40207,0.4707
-0.62256,0.16474,-1.85233,1.44521,0.25332
-0.36011,0.12698,-1.8733,1.48547,0.02035
0.71411,0.07119,-1.01284,1.52251,-0.22063
1.83716,0.00464,0.20747,1.55602,-0.46167
2.52686,-0.06358,1.14401,1.58567,-0.69473
2.59399,-0.1234,1.39337,1.61112,-0.91183
2.22168,-0.16489,0.96487,1.63207,-1.10524
1.36108,-0.17934,0.19906,1.64827,-1.26781
0.49439,-0.16058,-0.47201,1.65959,-1.39325
0.09155,-0.10609,-0.75537,1.66594,-1.47659
0.36621,-0.01804,-0.59879,1.66725,-1.51435
0.65918,0.09632,-0.15034,1.66337,-1.50462
0.43335,0.22475,0.35339,1.65422,-1.44696
0.56152,0.35084,0.68985,1.63984,-1.34243
0.8606,0.45593,0.71266,1.6204,-1.19376
0.87891,0.52135,0.38281,1.5961,-1.00536
0.32349,0.53089,-0.21162,1.56706,-0.78312
-0.43335,0.47346,-0.8586,1.53346,-0.5341
-0.56152,0.34527,-1.27736,1.49552,-0.26616
-0.14648,0.15155,-1.23138,1.45349,0.01212
0.46997,-0.09284,-0.65754,1.40765,0.2918
1.18408,-0.36432,0.26702,1.35826,0.56382
2.23999,-0.63273,1.18056,1.30569,0.81933
3.4668,-0.86451,1.70114,1.2503,1.05005
3.6438,-1.02664,1.61445,1.1925,1.24843
2.68555,-1.0911,0.97534,1.13266,1.40806
1.12305,-1.03916,0.06307,1.07114,1.52383
0.36621,-0.86482,-0.77584,1.00832,1.59221
1.00098,-0.57672,-1.29393,0.9446,1.61134
1.89209,-0.19821,-1.42127,0.88035,1.58108
2.36206,0.23413,-1.22788,0.81587,1.50302
2.40479,0.67411,-0.82659,0.75147,1.38032
2.68555,1.07107,-0.30069,0.68754,1.21753
3.68042,1.37617,0.29623,0.62447,1.0204
5.15137,1.54861,0.88774,0.56258,0.79561
5.88379,1.56125,1.33597,0.50211,0.55067
4.72412,1.40467,1.47031,0.44335,0.29368
2.85034,1.0893,1.17988,0.38656,0.03311
1.02539,0.64501,0.50719,0.33197,-0.22261
-0.354,0.1182,-0.33185,0.27967,-0.46555
-1.64185,-0.43335,-1.03076,0.22974,-0.68855
-3.35083,-0.9474,-1.33862,0.18227,-0.88539
-4.35791,-1.36494,-1.18319,0.13732,-1.05085
-4.71802,-1.63745,-0.69735,0.09495,-1.18088
-4.52271,-1.73308,-0.13328,0.05514,-1.27275
-3.71094,-1.6407,0.27914,0.01784,-1.32512
-2.99683,-1.37155,0.44587,-0.01697,-1.33802
-2.50244,-0.95783,0.43016,-0.04929,-1.31282
-2.14844,-0.44887,0.37846,-0.07914,-1.2522
-1.33667,0.09532,0.40615,-0.10662,-1.15995
-0.18311,0.61144,0.51526,-0.13183,-1.04062
0.67749,1.04099,0.59355,-0.1549,-0.8993
1.01929,1.33754,0.4918,-0.17599,-0.74149
1.0498,1.47206,0.13108,-0.19524,-0.57298
0.79346,1.43624,-0.42323,-0.21283,-0.39965
0.37231,1.24292,-0.96724,-0.22893,-0.22706
-0.22583,0.92366,-1.24644,-0.24379,-0.06011
-0.31128,0.52401,-1.086,-0.25766,0.09692
0.12207,0.09678,-0.49445,-0.27061,0.24043
0.89722,-0.30488,0.31788,-0.2826,0.36749
1.45874,-0.63438,1.02314,-0.29355,0.47611
1.48926,-0.85742,1.32651,-0.30355,0.56519
1.12915,-0.95581,1.10837,-0.31278,0.63447
0.15259,-0.92897,0.48357,-0.32141,0.68446
-0.57373,-0.79265,-0.25541,-0.3295,0.71636
-0.57983,-0.57573,-0.7854,-0.33707,0.73198
-0.5127,-0.31521,-0.91147,-0.34407,0.73347
-0.41504,-0.05044,-0.65285,-0.35044,0.72314
-0.7019,0.18255,-0.20904,-0.35612,0.70329
-0.60425,0.3558,0.16788,-0.36108,0.67612
0.23193,0.45254,0.3149,-0.36534,0.64361
0.6897,0.46883,0.23363,-0.36885,0.60736
0.36621,0.41318,0.06087,-0.37149,0.56859
-0.71411,0.30401,-0.03684,-0.37312,0.52819
-1.33667,0.16573,0.02528,-0.37362,0.48675
-0.64697,0.02437,0.20153,-0.37292,0.44431
0.48828,-0.09681,0.35506,-0.37094,0.40035
0.8667,-0.18053,0.35247,-0.36762,0.35387
-0.15869,-0.21772,0.15015,-0.36288,0.30377
-1.09863,-0.20824,-0.17951,-0.35667,0.24896
-1.01929,-0.16011,-0.49142,-0.3489,0.18824
-0.1648,-0.08751,-0.64608,-0.33951,0.12045
0.45776,-0.00762,-0.57533,-0.32847,0.04468
0.33569,0.0627,-0.30268,-0.31577,-0.03927
0.39063,0.11023,0.07955,-0.3014,-0.13104
0.7019,0.12752,0.45152,-0.2854,-0.22985
1.11084,0.11417,0.70222,-0.26786,-0.33444
1.17798,0.07657,0.75269,-0.24895,-0.44287
0.78735,0.02623,0.57191,-0.22877,-0.55231
0.04883,-0.02294,0.1921,-0.20742,-0.65941
-0.76904,-0.05749,-0.28439,-0.18501,-0.76054
-1.70288,-0.06727,-0.70215,-0.16178,-0.85182
-2.29492,-0.04749,-0.89965,-0.13803,-0.92921
-2.35596,2.48E-05,-0.77604,-0.11401,-0.98873
-1.78223,0.06679,-0.34786,-0.08995,-1.02678
-1.19019,0.13916,0.23673,-0.06607,-1.04027
-1.0498,0.2007,0.74434,-0.04263,-1.02659
-0.8667,0.23528,0.95231,-0.01992,-0.98397
-0.95215,0.23014,0.75265,0.00178,-0.91152
-1.2146,0.17857,0.21293,0.02217,-0.80939
-1.66626,0.08173,-0.43951,0.04103,-0.67875
-2.0752,-0.05088,-0.90992,0.05807,-0.52191
-1.80054,-0.20256,-0.96877,0.07301,-0.3424
-1.19629,-0.35162,-0.56481,0.08556,-0.14487
-0.46387,-0.47458,0.13897,0.0955,0.0651
0.41504,-0.54964,0.82988,0.10269,0.28131
1.22681,-0.56022,1.18707,0.10703,0.4971
1.75781,-0.49808,1.03364,0.10838,0.70544
1.42822,-0.36521,0.42329,0.10655,0.89924
1.0376,-0.17434,-0.38548,0.10141,1.07156
0.96436,0.05276,-1.05563,0.09295,1.21601
1.2146,0.28825,-1.32957,0.08125,1.32708
1.51978,0.50215,-1.13371,0.06648,1.40016
2.13623,0.66632,-0.58013,0.04874,1.43178
3.14331,0.75859,0.11792,0.02812,1.41987
4.18701,0.76588,0.75141,0.00478,1.36383
4.01611,0.68633,1.1774,-0.021,1.26468
3.02124,0.52956,1.31853,-0.04884,1.12498
1.9104,0.31528,1.13517,-0.07836,0.94871
1.14746,0.07059,0.62396,-0.10918,0.74109
0.11597,-0.17383,-0.14188,-0.1409,0.50853
-1.78223,-0.38803,-0.96963,-0.17305,0.25852
-3.25928,-0.54708,-1.56611,-0.20518,-0.00078
-3.97339,-0.63444,-1.65142,-0.23687,-0.2607
-3.63159,-0.64406,-1.11932,-0.26772,-0.51248
-2.74048,-0.58098,-0.14232,-0.29726,-0.74749
-1.7395,-0.46015,0.87053,-0.32499,-0.95759
-0.78125,-0.30371,1.46888,-0.35038,-1.13558
-0.66528,-0.13728,1.40397,-0.3729,-1.27539
-1.34277,0.01433,0.77079,-0.39205,-1.37235
-1.88599,0.13077,-0.04993,-0.40733,-1.42329
-2.20337,0.19919,-0.62069,-0.41836,-1.42671
-1.83105,0.21601,-0.70374,-0.42483,-1.38282
-1.5564,0.18719,-0.38336,-0.42649,-1.29354
-1.05591,0.12689,0.0233,-0.42308,-1.16237
-0.39673,0.0547,0.19796,-0.41435,-0.9942
-0.36011,-0.00793,0.03583,-0.40012,-0.79519
-0.6897,-0.0419,-0.30028,-0.38029,-0.57264
-0.83008,-0.03389,-0.51439,-0.35488,-0.3347
-0.31128,0.02092,-0.39648,-0.32398,-0.09005
0.98877,0.11757,0.02628,-0.28771,0.15253
1.96533,0.2418,0.50751,-0.24617,0.38446
2.17896,0.37194,0.74741,-0.19958,0.59765
1.83716,0.48245,0.59081,-0.14823,0.78467
1.51978,0.54809,0.12645,-0.09253,0.93907
1.30615,0.54824,-0.37297,-0.03286,1.05562
0.92773,0.47073,-0.62418,0.03029,1.13077
0.79956,0.31462,-0.50394,0.09636,1.16263
0.61646,0.09151,-0.11196,0.16479,1.15097
0.57373,-0.17544,0.30538,0.23501,1.09718
0.18311,-0.45435,0.51053,0.30648,1.00414
-0.354,-0.7089,0.40946,0.3786,0.87618
-0.49439,-0.90332,0.08977,0.45068,0.71888
-0.68359,-1.0075,-0.25065,0.52204,0.53895
-0.8667,-1.00174,-0.42902,0.59198,0.34384
-0.89722,-0.88014,-0.37879,0.65994,0.14132
-0.65918,-0.65221,-0.16966,0.72532,-0.06082
0.13428,-0.34213,0.05473,0.78757,-0.25502
1.03149,0.01407,0.17402,0.84617,-0.43392
1.77002,0.37325,0.16089,0.90061,-0.59079
2.00195,0.69103,0.08301,0.95046,-0.71996
1.61133,0.92768,0.04234,0.99534,-0.81698
